Sl.No.,Load,Biogas flow rate,methane fraction,Intake temperature,CO2,CO,HC,O2,Smoke,Nox,Pb (kW),ṁf1 (kg/s),ṁf2 (kg/s),% pilot fuel,% Energy of pilot,ɳBT (%),ɳvol (%),BSEC ,A/F Ratio,ER,Pm,Pm(CA),dp/dt,ID,CD,CA50,Max. HRR,BSFC,CO2,HC,CO,NOx
1,5,2,50,35,3.38,0.13,105,15.92,35,96,1.03714285714286,0.00012331838565,1.11333333333333E-05,91.719456309298,0.90066338220898,18.5077120229976,89.6872942091879,5.40315301403765,49.4099384604638,0.242698613204246,43.9471624910287,365,2.32659340566731,26,82,38,21.4927091295276,0.475257790523249,3.38,1.36018455543218,36.2715881448582,2.86983994113163
2,5,2,65,35,3.32,0.12,143,15.95,33,104,1.0397619047619,0.000120262390671,1.44733333333333E-05,89.2579837750263,0.871821344823034,18.4166673408506,91.056184238233,5.42986405462116,53.1641300002064,0.240048784404322,45.5057892177505,365,2.56108181770924,26,92,39,23.5227412744166,0.477607276110149,3.32,1.87808095602049,33.9448736537323,3.15202398213229
3,5,2,80,35,3.09,0.13,167,15.97,33,118,1.0397619047619,0.000115223463687,1.78133333333333E-05,86.6102208319172,0.841137699172421,18.5455428708843,90.7394661160558,5.3921311819346,56.9563582645939,0.239008724903307,45.2773965257015,365,2.50962443240425,25,88,40,26.2733886111735,0.474288317410197,3.09,2.18296780197086,36.6006577575953,3.55951451818372
4,5,2,100,35,2.98,0.15,189,16,31,103,1.04342857142857,0.000111486486486,2.22666666666667E-05,83.352417388493,0.803861195053201,18.3823502737137,91.3641474128336,5.44000078939838,62.5262539403121,0.239201494458022,43.913553407113,365,2.25788715181016,26,69,25,20.8694917333343,0.47849889664372,2.98,2.48372901170047,42.4569061829139,3.1236152406001
5,10,2,50,35,4.61,0.12,107,14.13,41,267,2.00304761904762,0.000157532938705,1.11333333333333E-05,93.3991940423164,0.920523590002744,28.5979102662498,92.5423166782489,3.49675899633885,40.7828776470573,0.304593153486057,51.3165218877876,364,3.6081063422848,24,80,34,31.0256590321206,0.3075726247757,4.61,0.718109040183129,17.3461277858757,4.13519296324002
6,10,2,65,35,4.47,0.11,123,14.24,36,257,2.01980952380952,0.000154842342342,1.44733333333333E-05,91.451864527265,0.897512940543037,28.6049293539945,91.774330647724,3.49590096037191,42.6126227677028,0.306880135673064,49.8140391160245,364,3.49495162122397,25,86,36,30.0526556169039,0.307497152495575,4.47,0.817798001583939,15.7524568160008,3.94322863803138
7,10,2,80,35,4.39,0.12,146,14.22,41,262,2.02295238095238,0.00015243902439,1.78133333333333E-05,89.5371003541371,0.87507640098888,28.3736330901968,91.6317501236727,3.52439885587124,44.5440489615392,0.309668722776669,50.0815757130177,365,3.58841705738949,25,73,31,30.8563533127771,0.310003808667329,4.39,0.968247874475559,17.1407421403471,4.00970932211691
8,10,2,100,35,4.19,0.12,155,14.24,40,253,2.03133333333333,0.000150163815071,2.22666666666667E-05,87.086583275604,0.846632202994883,27.9827351781193,91.2536923614296,3.57363207575911,47.1536714249562,0.315012708140467,48.9978374617759,365,3.24229533317306,25,76,30,35.8319844023933,0.314334330354105,4.19,1.02244935372353,17.0492795459607,3.85131046886433
9,15,2,50,35,6.03,0.09,94,11.99,44,607,2.98414285714286,0.000213398861873,1.11333333333333E-05,95.0415425622524,0.940083164258413,32.119831868418,91.1277637442345,3.11334132786434,31.1559875115817,0.413306851084392,57.737003528871,362,5.84277247752963,23,78,29,48.5029746499546,0.273847458471258,6.03,0.417208747898832,8.60365012033597,6.21716145600468
10,15,2,65,35,6.01,0.09,109,11.97,43,605,3.03285714285714,0.00021051288594,1.44733333333333E-05,93.5670134019493,0.922515796624067,32.473309949419,89.3237712836757,3.07945202246897,32.1403524878632,0.416871028944074,58.6047364803036,362,6.230314512946,23,88,36,51.8543145871728,0.270866577425926,6.01,0.473755806642457,8.42529733760757,6.06822010625307
